cohort_month,months_since_first_purchase,customers_active,cohort_size,retention_pct
﻿2023-01-01,0,90,90,100.0
2023-01-01,1,5,90,5.6
2023-01-01,2,11,90,12.2
2023-01-01,3,9,90,10.0
2023-01-01,4,7,90,7.8
2023-01-01,5,4,90,4.4
2023-01-01,6,3,90,3.3
2023-01-01,7,3,90,3.3
2023-01-01,8,1,90,1.1
2023-01-01,9,2,90,2.2
2023-01-01,10,2,90,2.2
2023-01-01,12,1,90,1.1
2023-01-01,13,1,90,1.1
2023-01-01,14,1,90,1.1
2023-01-01,15,1,90,1.1
2023-02-01,0,77,77,100.0
2023-02-01,1,10,77,13.0
2023-02-01,2,8,77,10.4
2023-02-01,3,9,77,11.7
2023-02-01,4,10,77,13.0
2023-02-01,5,3,77,3.9
2023-02-01,6,3,77,3.9
2023-02-01,7,4,77,5.2
2023-02-01,8,3,77,3.9
2023-02-01,9,2,77,2.6
2023-02-01,10,2,77,2.6
2023-02-01,11,1,77,1.3
2023-02-01,13,1,77,1.3
2023-02-01,14,1,77,1.3
2023-03-01,0,116,116,100.0
2023-03-01,1,8,116,6.9
2023-03-01,2,14,116,12.1
2023-03-01,3,9,116,7.8
2023-03-01,4,11,116,9.5
2023-03-01,5,5,116,4.3
2023-03-01,6,7,116,6.0
2023-03-01,7,9,116,7.8
2023-03-01,8,5,116,4.3
2023-03-01,9,3,116,2.6
2023-03-01,10,1,116,0.9
2023-03-01,11,4,116,3.4
2023-03-01,12,1,116,0.9
2023-03-01,13,1,116,0.9
2023-03-01,14,2,116,1.7
2023-03-01,16,1,116,0.9
2023-03-01,17,1,116,0.9
2023-03-01,18,1,116,0.9
2023-03-01,20,1,116,0.9
2023-04-01,0,95,95,100.0
2023-04-01,1,13,95,13.7
2023-04-01,2,9,95,9.5
2023-04-01,3,8,95,8.4
2023-04-01,4,11,95,11.6
2023-04-01,5,8,95,8.4
2023-04-01,6,6,95,6.3
2023-04-01,7,5,95,5.3
2023-04-01,8,3,95,3.2
2023-04-01,9,2,95,2.1
2023-04-01,11,2,95,2.1
2023-04-01,12,1,95,1.1
2023-04-01,13,2,95,2.1
2023-04-01,14,1,95,1.1
2023-04-01,15,1,95,1.1
2023-04-01,16,1,95,1.1
2023-05-01,0,104,104,100.0
2023-05-01,1,9,104,8.7
2023-05-01,2,8,104,7.7
2023-05-01,3,8,104,7.7
2023-05-01,4,5,104,4.8
2023-05-01,5,2,104,1.9
2023-05-01,6,6,104,5.8
2023-05-01,7,1,104,1.0
2023-05-01,8,1,104,1.0
2023-05-01,9,1,104,1.0
2023-06-01,0,104,104,100.0
2023-06-01,1,10,104,9.6
2023-06-01,2,12,104,11.5
2023-06-01,3,9,104,8.7
2023-06-01,4,14,104,13.5
2023-06-01,5,7,104,6.7
2023-06-01,6,8,104,7.7
2023-06-01,7,4,104,3.8
2023-06-01,8,3,104,2.9
2023-06-01,9,3,104,2.9
2023-06-01,10,2,104,1.9
2023-06-01,11,3,104,2.9
2023-06-01,12,1,104,1.0
2023-06-01,13,1,104,1.0
2023-06-01,14,2,104,1.9
2023-07-01,0,93,93,100.0
2023-07-01,1,3,93,3.2
2023-07-01,2,5,93,5.4
2023-07-01,3,7,93,7.5
2023-07-01,4,7,93,7.5
2023-07-01,5,3,93,3.2
2023-07-01,6,2,93,2.2
2023-07-01,7,1,93,1.1
2023-07-01,8,3,93,3.2
2023-07-01,10,1,93,1.1
2023-07-01,11,1,93,1.1
2023-08-01,0,116,116,100.0
2023-08-01,1,9,116,7.8
2023-08-01,2,9,116,7.8
2023-08-01,3,5,116,4.3
2023-08-01,4,10,116,8.6
2023-08-01,5,5,116,4.3
2023-08-01,6,4,116,3.4
2023-08-01,7,1,116,0.9
2023-08-01,8,2,116,1.7
2023-08-01,9,1,116,0.9
2023-08-01,10,1,116,0.9
2023-08-01,12,1,116,0.9
2023-08-01,13,1,116,0.9
2023-08-01,14,1,116,0.9
2023-08-01,15,1,116,0.9
2023-09-01,0,113,113,100.0
2023-09-01,1,6,113,5.3
2023-09-01,2,17,113,15.0
2023-09-01,3,11,113,9.7
2023-09-01,4,12,113,10.6
2023-09-01,5,7,113,6.2
2023-09-01,6,7,113,6.2
2023-09-01,7,6,113,5.3
2023-09-01,8,6,113,5.3
2023-09-01,9,5,113,4.4
2023-09-01,10,3,113,2.7
2023-09-01,11,3,113,2.7
2023-09-01,12,2,113,1.8
2023-09-01,13,4,113,3.5
2023-09-01,14,1,113,0.9
2023-09-01,15,4,113,3.5
2023-10-01,0,112,112,100.0
2023-10-01,1,10,112,8.9
2023-10-01,2,11,112,9.8
2023-10-01,3,16,112,14.3
2023-10-01,4,11,112,9.8
2023-10-01,5,4,112,3.6
2023-10-01,6,10,112,8.9
2023-10-01,7,6,112,5.4
2023-10-01,8,2,112,1.8
2023-10-01,9,3,112,2.7
2023-10-01,10,3,112,2.7
2023-10-01,11,2,112,1.8
2023-10-01,12,1,112,0.9
2023-10-01,13,1,112,0.9
2023-10-01,14,1,112,0.9
2023-11-01,0,190,190,100.0
2023-11-01,1,9,190,4.7
2023-11-01,2,24,190,12.6
2023-11-01,3,12,190,6.3
2023-11-01,4,20,190,10.5
2023-11-01,5,9,190,4.7
2023-11-01,6,10,190,5.3
2023-11-01,7,8,190,4.2
2023-11-01,8,6,190,3.2
2023-11-01,9,5,190,2.6
2023-11-01,10,6,190,3.2
2023-11-01,11,5,190,2.6
2023-11-01,12,3,190,1.6
2023-11-01,13,2,190,1.1
2023-12-01,0,186,186,100.0
2023-12-01,1,21,186,11.3
2023-12-01,2,29,186,15.6
2023-12-01,3,19,186,10.2
2023-12-01,4,19,186,10.2
2023-12-01,5,12,186,6.5
2023-12-01,6,11,186,5.9
2023-12-01,7,16,186,8.6
2023-12-01,8,5,186,2.7
2023-12-01,9,9,186,4.8
2023-12-01,10,1,186,0.5
2023-12-01,11,5,186,2.7
2023-12-01,12,3,186,1.6
2024-01-01,0,91,91,100.0
2024-01-01,1,5,91,5.5
2024-01-01,2,10,91,11.0
2024-01-01,3,7,91,7.7
2024-01-01,4,6,91,6.6
2024-01-01,5,4,91,4.4
2024-01-01,6,2,91,2.2
2024-01-01,7,4,91,4.4
2024-01-01,9,2,91,2.2
2024-02-01,0,91,91,100.0
2024-02-01,1,6,91,6.6
2024-02-01,2,12,91,13.2
2024-02-01,3,10,91,11.0
2024-02-01,4,12,91,13.2
2024-02-01,5,6,91,6.6
2024-02-01,6,8,91,8.8
2024-02-01,7,2,91,2.2
2024-02-01,8,5,91,5.5
2024-02-01,9,1,91,1.1
2024-02-01,10,4,91,4.4
2024-03-01,0,104,104,100.0
2024-03-01,1,9,104,8.7
2024-03-01,2,10,104,9.6
2024-03-01,3,13,104,12.5
2024-03-01,4,9,104,8.7
2024-03-01,5,4,104,3.8
2024-03-01,6,3,104,2.9
2024-03-01,7,4,104,3.8
2024-03-01,8,3,104,2.9
2024-03-01,9,2,104,1.9
2024-04-01,0,118,118,100.0
2024-04-01,1,10,118,8.5
2024-04-01,2,10,118,8.5
2024-04-01,3,6,118,5.1
2024-04-01,4,8,118,6.8
2024-04-01,5,6,118,5.1
2024-04-01,6,5,118,4.2
2024-04-01,7,3,118,2.5
2024-04-01,8,2,118,1.7
2024-05-01,0,134,134,100.0
2024-05-01,1,8,134,6.0
2024-05-01,2,17,134,12.7
2024-05-01,3,9,134,6.7
2024-05-01,4,10,134,7.5
2024-05-01,5,8,134,6.0
2024-05-01,6,7,134,5.2
2024-05-01,7,5,134,3.7
2024-06-01,0,129,129,100.0
2024-06-01,1,3,129,2.3
2024-06-01,2,15,129,11.6
2024-06-01,3,3,129,2.3
2024-06-01,4,13,129,10.1
2024-06-01,5,6,129,4.7
2024-06-01,6,3,129,2.3
2024-07-01,0,123,123,100.0
2024-07-01,1,13,123,10.6
2024-07-01,2,13,123,10.6
2024-07-01,3,11,123,8.9
2024-07-01,4,16,123,13.0
2024-07-01,5,7,123,5.7
2024-08-01,0,119,119,100.0
2024-08-01,1,9,119,7.6
2024-08-01,2,12,119,10.1
2024-08-01,3,7,119,5.9
2024-08-01,4,15,119,12.6
2024-09-01,0,139,139,100.0
2024-09-01,1,13,139,9.4
2024-09-01,2,11,139,7.9
2024-09-01,3,6,139,4.3
2024-10-01,0,135,135,100.0
2024-10-01,1,17,135,12.6
2024-10-01,2,13,135,9.6
2024-11-01,0,212,212,100.0
2024-11-01,1,25,212,11.8
2024-12-01,0,209,209,100.0
