product_a,category_a,product_b,category_b,how_often
PROD00013,electronics,PROD00031,home_appliances,5
PROD00017,electronics,PROD00034,home_appliances,5
PROD00017,electronics,PROD00037,home_appliances,4
PROD00019,electronics,PROD00032,home_appliances,4
PROD00007,electronics,PROD00027,home_appliances,4
PROD00005,electronics,PROD00023,home_appliances,4
PROD00039,fashion,PROD00083,beauty,4
PROD00020,electronics,PROD00031,home_appliances,4
PROD00115,toys,PROD00166,books,4
PROD00153,furniture,PROD00231,garden,4
PROD00085,sports,PROD00095,sports,3
PROD00008,electronics,PROD00032,home_appliances,3
PROD00041,fashion,PROD00067,beauty,3
PROD00005,electronics,PROD00031,home_appliances,3
PROD00043,fashion,PROD00077,beauty,3
PROD00151,furniture,PROD00234,garden,3
PROD00132,toys,PROD00185,books,3
PROD00001,electronics,PROD00036,home_appliances,3
PROD00043,fashion,PROD00088,sports,3
PROD00072,beauty,PROD00094,sports,3
