customer_unique_id,last_order_date,avg_gap_days,days_since_last_order,overdue_ratio
CUST102997,2023-06-01 18:00:00.000,7.0,575,82.1
CUST102762,2023-07-04 09:00:00.000,7.0,542,77.4
CUST101560,2023-05-04 09:00:00.000,10.0,603,60.3
CUST100032,2023-02-13 18:00:00.000,17.0,683,40.2
CUST100939,2023-03-04 20:00:00.000,19.0,664,34.9
CUST102422,2023-03-18 13:00:00.000,20.0,650,32.5
CUST102310,2023-09-05 16:00:00.000,15.0,479,31.9
CUST102016,2024-01-04 10:00:00.000,12.0,358,29.8
CUST102895,2023-04-15 21:00:00.000,21.0,622,29.6
CUST100533,2023-07-01 20:00:00.000,20.0,545,27.3
CUST100140,2024-02-05 08:00:00.000,13.0,326,25.1
CUST101825,2023-05-10 14:00:00.000,24.0,597,24.9
CUST101653,2023-04-11 18:00:00.000,28.0,626,22.4
CUST101319,2023-12-02 16:00:00.000,18.0,391,21.7
CUST100750,2023-04-11 11:00:00.000,30.0,626,20.9
CUST101052,2023-05-06 10:00:00.000,31.0,601,19.4
CUST100191,2024-01-14 12:00:00.000,18.0,348,19.3
CUST101357,2023-12-10 15:00:00.000,20.0,383,19.2
CUST101260,2023-05-10 14:00:00.000,31.5,597,19.0
