month_start,total_revenue,mom_growth_pct,yoy_growth_pct
2023-01-01,40683.08,,
2023-02-01,31422.29,-22.8,
2023-03-01,55500.57,76.6,
2023-04-01,48876.14,-11.9,
2023-05-01,64986.41,33.0,
2023-06-01,76149.22,17.2,
2023-07-01,61466.68,-19.3,
2023-08-01,58938.94,-4.1,
2023-09-01,59763.93,1.4,
2023-10-01,73288.24,22.6,
2023-11-01,115292.32,57.3,
2023-12-01,114017.03,-1.1,
2024-01-01,98989.82,-13.2,143.3
2024-02-01,76812.53,-22.4,144.5
2024-03-01,73187.91,-4.7,31.9
2024-04-01,81520.49,11.4,66.8
2024-05-01,83500.59,2.4,28.5
2024-06-01,101645.12,21.7,33.5
2024-07-01,94507.16,-7.0,53.8
2024-08-01,82088.58,-13.1,39.3
2024-09-01,90839.81,10.7,52.0
2024-10-01,90253.37,-0.6,23.1
2024-11-01,143927.70,59.5,24.8
2024-12-01,137469.46,-4.5,20.6
