customer_id,customer_unique_id,customer_state
OC000001,CUST100000,RJ
OC000002,CUST100000,RJ
OC000003,CUST100001,SP
OC000004,CUST100002,PR
OC000005,CUST100003,RS
OC000006,CUST100004,RS
OC000007,CUST100005,MG
OC000008,CUST100006,RJ
OC000009,CUST100007,PE
OC000010,CUST100008,RJ
OC000011,CUST100009,CE
OC000012,CUST100009,CE
OC000013,CUST100010,SC
OC000014,CUST100011,SP
OC000015,CUST100011,SP
OC000016,CUST100011,SP
OC000017,CUST100011,SP
OC000018,CUST100011,SP
OC000019,CUST100012,SP
OC000020,CUST100013,RJ
OC000021,CUST100013,RJ
OC000022,CUST100014,RS
OC000023,CUST100014,RS
OC000024,CUST100014,RS
OC000025,CUST100014,RS
OC000026,CUST100014,RS
OC000027,CUST100014,RS
OC000028,CUST100014,RS
OC000029,CUST100014,RS
OC000030,CUST100015,RS
OC000031,CUST100016,PE
OC000032,CUST100017,CE
OC000033,CUST100018,SP
OC000034,CUST100018,SP
OC000035,CUST100019,PE
OC000036,CUST100020,RS
OC000037,CUST100021,PE
OC000038,CUST100021,PE
OC000039,CUST100021,PE
OC000040,CUST100021,PE
OC000041,CUST100021,PE
OC000042,CUST100022,SC
OC000043,CUST100023,RS
OC000044,CUST100023,RS
OC000045,CUST100024,GO
OC000046,CUST100025,CE
OC000047,CUST100026,PR
OC000048,CUST100027,SP
OC000049,CUST100028,MG
OC000050,CUST100029,SC
OC000051,CUST100030,BA
OC000052,CUST100031,PR
OC000053,CUST100032,MG
OC000054,CUST100032,MG
OC000055,CUST100033,RS
OC000056,CUST100034,BA
OC000057,CUST100035,RJ
OC000058,CUST100036,RJ
OC000059,CUST100037,SC
OC000060,CUST100038,RJ
OC000061,CUST100039,BA
OC000062,CUST100040,BA
OC000063,CUST100041,CE
OC000064,CUST100042,PR
OC000065,CUST100043,SP
OC000066,CUST100043,SP
OC000067,CUST100043,SP
OC000068,CUST100044,GO
OC000069,CUST100044,GO
OC000070,CUST100045,PE
OC000071,CUST100046,RJ
OC000072,CUST100047,SC
OC000073,CUST100048,RJ
OC000074,CUST100049,PE
OC000075,CUST100050,PR
OC000076,CUST100051,CE
OC000077,CUST100052,BA
OC000078,CUST100053,CE
OC000079,CUST100054,RS
OC000080,CUST100055,RJ
OC000081,CUST100056,SP
OC000082,CUST100057,RS
OC000083,CUST100058,PR
OC000084,CUST100058,PR
OC000085,CUST100059,RJ
OC000086,CUST100060,RS
OC000087,CUST100061,RJ
OC000088,CUST100061,RJ
OC000089,CUST100062,SC
OC000090,CUST100063,PR
OC000091,CUST100064,GO
OC000092,CUST100065,BA
OC000093,CUST100066,MG
OC000094,CUST100066,MG
OC000095,CUST100067,BA
OC000096,CUST100067,BA
OC000097,CUST100068,BA
OC000098,CUST100069,RS
OC000099,CUST100069,RS
OC000100,CUST100070,PR
OC000101,CUST100071,RJ
OC000102,CUST100072,CE
OC000103,CUST100073,MG
OC000104,CUST100074,PE
OC000105,CUST100075,RS
OC000106,CUST100076,MG
OC000107,CUST100077,GO
OC000108,CUST100078,SC
OC000109,CUST100078,SC
OC000110,CUST100079,PR
OC000111,CUST100080,PE
OC000112,CUST100081,RS
OC000113,CUST100082,BA
OC000114,CUST100082,BA
OC000115,CUST100082,BA
OC000116,CUST100082,BA
OC000117,CUST100083,SP
OC000118,CUST100084,RS
OC000119,CUST100085,SP
OC000120,CUST100086,BA
OC000121,CUST100086,BA
OC000122,CUST100086,BA
OC000123,CUST100086,BA
OC000124,CUST100086,BA
OC000125,CUST100086,BA
OC000126,CUST100087,SC
OC000127,CUST100088,PR
OC000128,CUST100089,RJ
OC000129,CUST100089,RJ
OC000130,CUST100090,RS
OC000131,CUST100090,RS
OC000132,CUST100090,RS
OC000133,CUST100090,RS
OC000134,CUST100090,RS
OC000135,CUST100090,RS
OC000136,CUST100090,RS
OC000137,CUST100091,CE
OC000138,CUST100092,BA
OC000139,CUST100093,RS
OC000140,CUST100094,GO
OC000141,CUST100095,SC
OC000142,CUST100096,GO
OC000143,CUST100097,MG
OC000144,CUST100098,PR
OC000145,CUST100099,MG
OC000146,CUST100100,RS
OC000147,CUST100101,PE
OC000148,CUST100102,PE
OC000149,CUST100103,PR
OC000150,CUST100104,CE
OC000151,CUST100105,SC
OC000152,CUST100106,CE
OC000153,CUST100107,SC
OC000154,CUST100107,SC
OC000155,CUST100107,SC
OC000156,CUST100108,BA
OC000157,CUST100109,RS
OC000158,CUST100110,MG
OC000159,CUST100110,MG
OC000160,CUST100111,PE
OC000161,CUST100112,GO
OC000162,CUST100113,RJ
OC000163,CUST100114,SP
OC000164,CUST100114,SP
OC000165,CUST100114,SP
OC000166,CUST100114,SP
OC000167,CUST100114,SP
OC000168,CUST100114,SP
OC000169,CUST100115,RJ
OC000170,CUST100116,MG
OC000171,CUST100116,MG
OC000172,CUST100116,MG
