order_id,order_item_id,product_id,price,freight_value
ORD000001,1,PROD00011,540.03,30.1
ORD000002,1,PROD00170,17.83,28.41
ORD000002,2,PROD00120,109.22,7.4
ORD000002,3,PROD00114,80.91,5.3
ORD000002,4,PROD00116,59.12,29.23
ORD000003,1,PROD00239,233.7,30.37
ORD000004,1,PROD00017,102.86,23.82
ORD000005,1,PROD00203,63.06,15.78
ORD000005,2,PROD00115,72.77,11.98
ORD000006,1,PROD00123,125.48,23.7
ORD000006,2,PROD00195,27.14,21.77
ORD000006,3,PROD00178,56.1,20.57
ORD000007,1,PROD00106,402.1,15.02
ORD000008,1,PROD00018,649.2,27.65
ORD000008,2,PROD00027,923.11,12.2
ORD000009,1,PROD00031,301.49,21.8
ORD000010,1,PROD00006,160.41,7.34
ORD000011,1,PROD00231,138.35,27.19
ORD000011,2,PROD00112,33.95,25.07
ORD000012,1,PROD00217,267.62,23.49
ORD000013,1,PROD00026,805.35,11.37
ORD000013,2,PROD00051,133.22,19.24
ORD000013,3,PROD00100,331.92,29.56
ORD000014,1,PROD00035,949.48,20.91
ORD000014,2,PROD00016,897.25,22.71
ORD000015,1,PROD00212,68.91,13.58
ORD000015,2,PROD00037,682.04,15.37
ORD000016,1,PROD00003,558.46,17.21
ORD000016,2,PROD00022,880.05,11.8
ORD000016,3,PROD00048,30.78,25.92
ORD000016,4,PROD00066,28.77,19.93
ORD000017,1,PROD00056,213.57,17.54
ORD000017,2,PROD00067,137.0,14.62
ORD000017,3,PROD00063,117.12,13.89
ORD000018,1,PROD00037,682.36,32.98
ORD000019,1,PROD00100,321.02,30.76
ORD000020,1,PROD00181,60.71,12.0
ORD000021,1,PROD00171,32.04,11.23
ORD000022,1,PROD00110,149.72,15.67
ORD000022,2,PROD00234,321.21,13.84
ORD000023,1,PROD00082,26.78,19.95
ORD000023,2,PROD00107,32.09,11.55
ORD000023,3,PROD00098,319.42,5.38
ORD000024,1,PROD00090,313.87,28.6
ORD000024,2,PROD00193,43.08,21.49
ORD000024,3,PROD00081,112.03,19.22
ORD000025,1,PROD00048,27.62,8.4
