order_id,customer_id,order_purchase_timestamp,order_status
ORD000001,OC000001,2024-05-19 13:00:00,delivered
ORD000002,OC000002,2024-06-14 14:00:00,delivered
ORD000003,OC000003,2024-04-23 10:00:00,delivered
ORD000004,OC000004,2024-11-13 09:00:00,delivered
ORD000005,OC000005,2023-02-05 08:00:00,delivered
ORD000006,OC000006,2023-09-26 14:00:00,delivered
ORD000007,OC000007,2024-12-01 08:00:00,delivered
ORD000008,OC000008,2024-11-20 10:00:00,delivered
ORD000009,OC000009,2023-12-23 13:00:00,delivered
ORD000010,OC000010,2024-05-23 14:00:00,delivered
ORD000011,OC000011,2023-09-20 20:00:00,delivered
ORD000012,OC000012,2023-11-13 18:00:00,delivered
ORD000013,OC000013,2023-06-12 19:00:00,delivered
ORD000014,OC000014,2023-12-23 14:00:00,delivered
ORD000015,OC000015,2024-02-06 13:00:00,delivered
ORD000016,OC000016,2024-06-20 08:00:00,delivered
ORD000017,OC000017,2024-07-18 09:00:00,delivered
ORD000018,OC000018,2024-09-21 11:00:00,delivered
ORD000019,OC000019,2023-11-14 11:00:00,delivered
ORD000020,OC000020,2024-04-24 13:00:00,delivered
ORD000021,OC000021,2024-05-17 17:00:00,delivered
ORD000022,OC000022,2023-03-12 17:00:00,delivered
ORD000023,OC000023,2023-05-27 16:00:00,delivered
ORD000024,OC000024,2023-07-05 08:00:00,delivered
ORD000025,OC000025,2023-09-04 12:00:00,delivered
ORD000026,OC000026,2023-10-26 13:00:00,delivered
ORD000027,OC000027,2023-12-06 12:00:00,delivered
ORD000028,OC000028,2024-02-12 10:00:00,delivered
ORD000029,OC000029,2024-04-23 16:00:00,canceled
ORD000030,OC000030,2024-12-13 18:00:00,delivered
ORD000031,OC000031,2024-12-17 16:00:00,delivered
ORD000032,OC000032,2024-07-09 09:00:00,delivered
ORD000033,OC000033,2024-03-23 19:00:00,delivered
ORD000034,OC000034,2024-06-06 18:00:00,delivered
ORD000035,OC000035,2023-10-09 21:00:00,delivered
ORD000036,OC000036,2024-10-17 10:00:00,delivered
ORD000037,OC000037,2024-06-07 17:00:00,delivered
ORD000038,OC000038,2024-08-08 18:00:00,delivered
ORD000039,OC000039,2024-09-04 10:00:00,delivered
ORD000040,OC000040,2024-10-09 10:00:00,delivered
ORD000041,OC000041,2024-11-03 19:00:00,delivered
ORD000042,OC000042,2023-06-11 11:00:00,delivered
ORD000043,OC000043,2024-11-15 21:00:00,delivered
ORD000044,OC000044,2024-12-04 19:00:00,delivered
ORD000045,OC000045,2024-10-10 21:00:00,delivered
ORD000046,OC000046,2024-12-11 15:00:00,delivered
ORD000047,OC000047,2024-08-19 13:00:00,delivered
ORD000048,OC000048,2024-05-25 11:00:00,delivered
ORD000049,OC000049,2023-12-14 16:00:00,delivered
ORD000050,OC000050,2024-12-20 20:00:00,delivered
ORD000051,OC000051,2024-11-10 08:00:00,delivered
ORD000052,OC000052,2023-02-03 12:00:00,delivered
ORD000053,OC000053,2023-01-27 10:00:00,delivered
ORD000054,OC000054,2023-02-13 18:00:00,delivered
ORD000055,OC000055,2023-11-12 12:00:00,delivered
ORD000056,OC000056,2024-10-25 10:00:00,delivered
ORD000057,OC000057,2024-12-05 16:00:00,delivered
ORD000058,OC000058,2023-05-14 21:00:00,delivered
ORD000059,OC000059,2024-04-17 15:00:00,delivered
ORD000060,OC000060,2023-11-17 14:00:00,delivered
ORD000061,OC000061,2024-12-15 17:00:00,delivered
ORD000062,OC000062,2024-10-05 21:00:00,delivered
ORD000063,OC000063,2024-10-07 17:00:00,delivered
ORD000064,OC000064,2024-01-11 12:00:00,delivered
ORD000065,OC000065,2023-12-26 17:00:00,delivered
ORD000066,OC000066,2024-02-08 13:00:00,delivered
ORD000067,OC000067,2024-03-20 09:00:00,delivered
ORD000068,OC000068,2023-09-15 21:00:00,delivered
ORD000069,OC000069,2023-11-23 10:00:00,delivered
ORD000070,OC000070,2023-02-12 10:00:00,delivered
ORD000071,OC000071,2024-11-04 17:00:00,delivered
ORD000072,OC000072,2024-10-27 16:00:00,delivered
ORD000073,OC000073,2024-12-15 17:00:00,delivered
ORD000074,OC000074,2024-12-20 17:00:00,canceled
ORD000075,OC000075,2024-03-13 18:00:00,delivered
ORD000076,OC000076,2024-09-14 17:00:00,delivered
ORD000077,OC000077,2024-12-24 17:00:00,delivered
ORD000078,OC000078,2024-10-13 13:00:00,delivered
ORD000079,OC000079,2023-08-05 17:00:00,canceled
ORD000080,OC000080,2023-12-15 08:00:00,delivered
ORD000081,OC000081,2023-05-08 08:00:00,canceled
ORD000082,OC000082,2024-12-24 08:00:00,delivered
ORD000083,OC000083,2024-04-03 18:00:00,delivered
ORD000084,OC000084,2024-06-02 08:00:00,delivered
ORD000085,OC000085,2023-08-27 20:00:00,delivered
ORD000086,OC000086,2024-06-20 14:00:00,canceled
ORD000087,OC000087,2024-05-11 21:00:00,delivered
ORD000088,OC000088,2024-06-26 08:00:00,canceled
ORD000089,OC000089,2023-11-17 15:00:00,delivered
ORD000090,OC000090,2023-04-02 17:00:00,delivered
ORD000091,OC000091,2024-06-20 20:00:00,delivered
ORD000092,OC000092,2024-02-23 09:00:00,delivered
ORD000093,OC000093,2024-09-16 21:00:00,delivered
ORD000094,OC000094,2024-11-22 21:00:00,delivered
ORD000095,OC000095,2024-02-13 19:00:00,delivered
ORD000096,OC000096,2024-06-08 12:00:00,delivered
ORD000097,OC000097,2024-10-01 10:00:00,delivered
ORD000098,OC000098,2024-03-25 08:00:00,delivered
ORD000099,OC000099,2024-05-09 17:00:00,delivered
ORD000100,OC000100,2024-03-14 19:00:00,delivered
ORD000101,OC000101,2024-11-01 08:00:00,delivered
ORD000102,OC000102,2023-11-10 15:00:00,delivered
ORD000103,OC000103,2023-05-07 15:00:00,delivered
ORD000104,OC000104,2023-01-08 11:00:00,delivered
ORD000105,OC000105,2024-08-18 21:00:00,delivered
ORD000106,OC000106,2024-05-10 10:00:00,canceled
ORD000107,OC000107,2024-07-08 17:00:00,delivered
ORD000108,OC000108,2023-07-06 08:00:00,delivered
ORD000109,OC000109,2023-11-08 08:00:00,delivered
ORD000110,OC000110,2023-05-03 12:00:00,delivered
ORD000111,OC000111,2023-01-20 15:00:00,delivered
ORD000112,OC000112,2023-11-16 10:00:00,delivered
ORD000113,OC000113,2024-04-08 09:00:00,delivered
ORD000114,OC000114,2024-06-25 17:00:00,delivered
ORD000115,OC000115,2024-09-14 18:00:00,delivered
ORD000116,OC000116,2024-12-03 08:00:00,delivered
ORD000117,OC000117,2023-11-05 21:00:00,delivered
ORD000118,OC000118,2023-12-24 09:00:00,delivered
ORD000119,OC000119,2024-11-13 20:00:00,delivered
ORD000120,OC000120,2023-11-14 15:00:00,delivered
ORD000121,OC000121,2023-12-08 10:00:00,delivered
ORD000122,OC000122,2024-01-10 19:00:00,delivered
ORD000123,OC000123,2024-03-16 11:00:00,delivered
ORD000124,OC000124,2024-04-09 12:00:00,delivered
