order_id,payment_type,payment_installments,payment_value
ORD000001,credit_card,1,570.13
ORD000002,boleto,1,337.42
ORD000003,boleto,1,264.07
ORD000004,credit_card,10,126.68
ORD000005,credit_card,1,163.59
ORD000006,voucher,1,274.76
ORD000007,credit_card,2,417.12
ORD000008,credit_card,1,1612.16
ORD000009,credit_card,2,323.29
ORD000010,debit_card,1,167.75
ORD000011,credit_card,2,224.56
ORD000012,credit_card,1,291.11
ORD000013,boleto,1,1330.66
ORD000014,credit_card,1,1890.35
ORD000015,debit_card,1,779.9
ORD000016,credit_card,3,1572.92
ORD000017,debit_card,1,513.74
ORD000018,credit_card,6,715.34
ORD000019,debit_card,1,351.78
ORD000020,boleto,1,72.71
ORD000021,boleto,1,43.27
ORD000022,debit_card,1,500.44
ORD000023,credit_card,3,415.17
ORD000024,credit_card,1,538.29
ORD000025,voucher,1,1651.58
ORD000026,credit_card,1,130.66
ORD000027,credit_card,6,248.2
ORD000028,credit_card,1,337.08
ORD000029,credit_card,1,240.78
ORD000030,credit_card,2,59.95
ORD000031,credit_card,1,313.55
ORD000032,debit_card,1,542.06
ORD000033,boleto,1,1506.59
ORD000034,debit_card,1,1547.71
ORD000035,credit_card,1,76.38
ORD000036,credit_card,10,59.53
ORD000037,credit_card,3,654.43
ORD000038,credit_card,6,528.33
ORD000039,boleto,1,154.88
ORD000040,boleto,1,1003.84
ORD000041,credit_card,2,40.46
ORD000042,boleto,1,480.49
ORD000043,debit_card,1,62.87
ORD000044,credit_card,1,1358.8
ORD000045,credit_card,6,607.26
ORD000046,credit_card,1,39.45
ORD000047,credit_card,2,1538.56
ORD000048,voucher,1,191.81
ORD000049,credit_card,1,86.31
ORD000050,debit_card,1,817.35
ORD000051,credit_card,3,924.34
ORD000052,credit_card,1,303.82
ORD000053,boleto,1,62.96
ORD000054,credit_card,6,544.9
ORD000055,credit_card,10,162.13
ORD000056,boleto,1,38.44
ORD000057,boleto,1,850.12
ORD000058,credit_card,1,386.18
ORD000059,debit_card,1,322.59
ORD000060,debit_card,1,958.24
ORD000061,credit_card,1,334.74
ORD000062,credit_card,1,194.84
ORD000063,credit_card,1,1115.68
ORD000064,credit_card,6,790.55
ORD000065,voucher,1,29.01
ORD000066,boleto,1,175.54
ORD000067,credit_card,10,619.4
ORD000068,debit_card,1,184.42
ORD000069,credit_card,1,936.25
ORD000070,credit_card,2,165.7
ORD000071,credit_card,10,22.12
ORD000072,credit_card,3,994.07
ORD000073,credit_card,2,65.84
ORD000074,credit_card,10,207.29
ORD000075,credit_card,3,1883.23
ORD000076,credit_card,1,1411.57
ORD000077,debit_card,1,177.65
ORD000078,credit_card,1,76.87
ORD000079,boleto,1,1444.03
ORD000080,credit_card,2,73.03
ORD000081,credit_card,3,249.88
ORD000082,boleto,1,325.94
ORD000083,credit_card,10,224.67
ORD000084,credit_card,2,291.48
ORD000085,boleto,1,160.47
ORD000086,credit_card,2,78.25
ORD000087,credit_card,10,1040.04
ORD000088,credit_card,2,362.58
ORD000089,boleto,1,45.49
ORD000090,credit_card,2,69.92
ORD000091,voucher,1,77.46
ORD000092,credit_card,2,78.28
ORD000093,credit_card,3,156.29
ORD000094,credit_card,2,404.38
