product_id,product_category_name,base_price,weight_g
PROD00001,electronics,972.13,1549
PROD00002,electronics,953.25,4815
PROD00003,electronics,579.33,889
PROD00004,electronics,594.36,2736
PROD00005,electronics,240.01,5242
PROD00006,electronics,143.18,5803
PROD00007,electronics,1131.18,106
PROD00008,electronics,1191.28,4978
PROD00009,electronics,765.05,155
PROD00010,electronics,105.83,4245
PROD00011,electronics,527.84,468
PROD00012,electronics,1170.61,1938
PROD00013,electronics,181.48,4985
PROD00014,electronics,508.36,7867
PROD00015,electronics,602.77,6893
PROD00016,electronics,841.94,3658
PROD00017,electronics,94.86,7543
PROD00018,electronics,710.88,3144
PROD00019,electronics,97.88,1924
PROD00020,electronics,349.95,5497
PROD00021,electronics,763.2,6682
PROD00022,home_appliances,822.92,2144
PROD00023,home_appliances,613.14,2562
PROD00024,home_appliances,492.06,4419
PROD00025,home_appliances,207.13,7759
PROD00026,home_appliances,708.86,7522
PROD00027,home_appliances,810.6,4823
PROD00028,home_appliances,833.59,799
PROD00029,home_appliances,216.59,457
PROD00030,home_appliances,326.53,3170
PROD00031,home_appliances,280.65,6647
PROD00032,home_appliances,353.24,2319
PROD00033,home_appliances,511.29,1213
PROD00034,home_appliances,731.87,688
PROD00035,home_appliances,888.85,6200
PROD00036,home_appliances,218.91,143
PROD00037,home_appliances,743.14,5684
PROD00038,home_appliances,669.66,6193
PROD00039,fashion,233.05,5243
PROD00040,fashion,230.44,6815
PROD00041,fashion,123.37,853
PROD00042,fashion,105.29,5383
PROD00043,fashion,173.16,4771
PROD00044,fashion,83.19,4533
PROD00045,fashion,108.07,7776
PROD00046,fashion,215.25,5801
PROD00047,fashion,74.28,2122
PROD00048,fashion,29.3,5714
PROD00049,fashion,45.5,3570
PROD00050,fashion,66.4,7176
PROD00051,fashion,129.34,4549
PROD00052,fashion,179.97,1200
PROD00053,fashion,159.02,4364
PROD00054,fashion,66.7,7548
PROD00055,fashion,157.74,5588
PROD00056,fashion,222.51,5032
PROD00057,fashion,88.0,933
PROD00058,beauty,123.5,1573
PROD00059,beauty,135.5,4360
PROD00060,beauty,124.0,7179
PROD00061,beauty,57.93,969
PROD00062,beauty,45.77,3474
PROD00063,beauty,125.43,6899
PROD00064,beauty,15.94,4134
PROD00065,beauty,71.35,1854
PROD00066,beauty,31.18,2767
PROD00067,beauty,142.29,2653
PROD00068,beauty,85.04,5653
PROD00069,beauty,64.09,7777
PROD00070,beauty,144.93,2089
PROD00071,beauty,82.13,2476
PROD00072,beauty,53.45,391
PROD00073,beauty,97.29,4071
PROD00074,beauty,21.95,2301
PROD00075,beauty,137.62,1992
PROD00076,beauty,34.56,3966
PROD00077,beauty,148.06,2012
PROD00078,beauty,105.74,6116
PROD00079,beauty,47.08,5852
PROD00080,beauty,64.65,5095
PROD00081,beauty,100.53,4332
PROD00082,beauty,27.19,6698
PROD00083,beauty,58.31,1573
PROD00084,sports,346.88,2675
PROD00085,sports,107.59,5718
PROD00086,sports,328.56,2854
PROD00087,sports,61.07,7530
PROD00088,sports,174.09,4190
PROD00089,sports,339.14,5437
PROD00090,sports,300.71,1751
PROD00091,sports,228.04,5596
PROD00092,sports,110.71,1482
PROD00093,sports,393.31,4181
PROD00094,sports,122.81,7970
PROD00095,sports,387.03,4510
PROD00096,sports,355.99,1590
PROD00097,sports,129.58,5632
PROD00098,sports,342.5,6864
PROD00099,sports,176.69,7113
PROD00100,sports,344.1,7491
PROD00101,sports,319.5,5385
PROD00102,sports,242.76,3041
PROD00103,sports,377.55,7791
PROD00104,sports,131.47,2512
PROD00105,sports,207.11,3642
PROD00106,sports,397.92,1489
PROD00107,sports,31.78,4001
PROD00108,sports,92.06,2995
PROD00109,sports,304.06,5795
PROD00110,sports,140.52,4386
PROD00111,toys,50.45,2195
PROD00112,toys,36.84,7786
PROD00113,toys,53.24,7147
PROD00114,toys,79.43,6379
PROD00115,toys,65.29,4657
PROD00116,toys,64.18,1642
PROD00117,toys,89.47,2318
PROD00118,toys,12.67,5199
PROD00119,toys,29.48,7529
PROD00120,toys,114.93,7327
PROD00121,toys,50.72,222
PROD00122,toys,112.12,3482
PROD00123,toys,116.33,7712
PROD00124,toys,103.83,2426
PROD00125,toys,52.36,6823
PROD00126,toys,44.86,1438
PROD00127,toys,71.25,7495
PROD00128,toys,86.56,4603
PROD00129,toys,20.69,4958
PROD00130,toys,118.91,1206
PROD00131,toys,67.02,7031
PROD00132,toys,91.48,5606
PROD00133,toys,87.27,2939
PROD00134,toys,42.3,6493
PROD00135,toys,99.11,6949
PROD00136,furniture,214.23,140
PROD00137,furniture,979.05,1634
PROD00138,furniture,199.32,3234
PROD00139,furniture,171.08,7104
PROD00140,furniture,138.66,4673
PROD00141,furniture,713.86,5409
PROD00142,furniture,559.41,1324
PROD00143,furniture,1474.58,6727
PROD00144,furniture,1304.57,2076
PROD00145,furniture,154.37,2495
PROD00146,furniture,851.92,2680
PROD00147,furniture,1259.02,2245
PROD00148,furniture,1451.35,3712
PROD00149,furniture,1278.83,1635
PROD00150,furniture,675.9,5626
PROD00151,furniture,293.69,1148
PROD00152,furniture,1457.35,5745
PROD00153,furniture,157.49,3250
PROD00154,furniture,706.93,5977
PROD00155,furniture,451.2,1556
PROD00156,furniture,213.22,3483
PROD00157,furniture,1063.9,559
PROD00158,furniture,1381.3,3594
PROD00159,furniture,435.7,841
PROD00160,furniture,356.01,7483
PROD00161,furniture,993.58,4181
PROD00162,furniture,1019.96,3541
PROD00163,books,30.98,2057
PROD00164,books,27.8,6086
PROD00165,books,10.72,1016
PROD00166,books,12.3,421
PROD00167,books,52.77,5658
PROD00168,books,33.71,872
PROD00169,books,34.58,3840
PROD00170,books,18.66,3527
PROD00171,books,29.93,4965
PROD00172,books,41.75,457
PROD00173,books,28.73,5044
PROD00174,books,35.16,6866
PROD00175,books,42.93,1387
PROD00176,books,13.53,5175
PROD00177,books,11.33,4727
PROD00178,books,57.01,4646
PROD00179,books,29.41,5181
PROD00180,books,32.91,4410
PROD00181,books,57.07,3150
PROD00182,books,58.06,7252
PROD00183,books,19.79,647
PROD00184,books,15.04,243
PROD00185,books,14.72,5495
PROD00186,books,13.56,2619
PROD00187,books,52.24,283
PROD00188,books,50.72,2326
PROD00189,books,15.91,5604
PROD00190,groceries,75.25,409
PROD00191,groceries,36.35,7743
PROD00192,groceries,46.1,3445
PROD00193,groceries,47.64,4649
PROD00194,groceries,59.87,1108
PROD00195,groceries,23.75,4686
PROD00196,groceries,70.03,4538
PROD00197,groceries,22.89,5470
PROD00198,groceries,60.49,1982
PROD00199,groceries,33.33,4321
PROD00200,groceries,42.24,3177
PROD00201,groceries,27.32,889
PROD00202,groceries,9.01,7672
PROD00203,groceries,68.54,2903
PROD00204,groceries,76.76,5446
PROD00205,groceries,41.19,3994
PROD00206,groceries,11.25,824
PROD00207,groceries,50.18,4474
PROD00208,groceries,20.95,7574
PROD00209,groceries,63.6,996
PROD00210,groceries,74.82,7796
PROD00211,groceries,79.69,541
PROD00212,groceries,60.28,4412
PROD00213,groceries,57.94,7752
PROD00214,groceries,56.6,6712
PROD00215,groceries,70.02,6723
PROD00216,groceries,36.96,1858
PROD00217,garden,249.23,5679
PROD00218,garden,38.18,770
PROD00219,garden,296.19,3056
PROD00220,garden,120.63,6521
PROD00221,garden,284.97,7889
PROD00222,garden,229.71,3072
PROD00223,garden,38.8,6239
PROD00224,garden,174.15,3451
PROD00225,garden,273.31,978
PROD00226,garden,155.4,189
PROD00227,garden,148.57,544
PROD00228,garden,48.86,1028
PROD00229,garden,200.02,5993
PROD00230,garden,181.26,7701
PROD00231,garden,121.84,2357
PROD00232,garden,262.55,1866
PROD00233,garden,289.52,196
PROD00234,garden,291.42,440
PROD00235,garden,268.98,4268
PROD00236,garden,297.99,682
PROD00237,garden,172.85,7757
PROD00238,garden,164.08,5072
PROD00239,garden,213.29,3690
